Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Product Name,Brand,Subcategory,Category,Unit Cost USD,Unit Price USD,Revenue,Cost,Profit
1427021,3,11/27/2018,,1877381,48,86,2,USD,NT Wireless Bluetooth Stereo Headphones M402 Black,Northwind Traders,Bluetooth Headphones,Audio,45.98,99.99,199.98,91.96,108.02
1427021,4,11/27/2018,,1877381,48,53,3,USD,WWI 4GB Video Recording Pen X200 Black,Wide World Importers,Recording Pen,Audio,98.07,296.0,888.0,294.21,593.79
1427022,1,11/27/2018,,1314363,56,1436,2,USD,The Phone Company Touch Screen Phones 5-Wire/On-wall M508 Grey,The Phone Company,Touch Screen Phones,Cell phones,118.65,258.0,516.0,237.3,278.7
1427022,2,11/27/2018,,1314363,56,347,3,USD,Fabrikam Laptop14.1 M4100 White,Fabrikam,Laptops,Computers,269.48,586.0,1758.0,808.44,949.56
1428000,1,11/28/2018,,790269,29,1145,4,EUR,"Fabrikam Home and Vacation Moviemaker 1/2"" 3mm M300 Orange",Fabrikam,Camcorders,Cameras and camcorders,260.28,566.0,2264.0,1041.12,1222.88
1428000,2,11/28/2018,,790269,29,1816,10,EUR,MGS Age of Empires II Gold Edition2009 E172,Tailspin Toys,Download Games,Games and Toys,16.31,32.0,320.0,163.1,156.9
1428000,3,11/28/2018,,790269,29,1394,1,EUR,Contoso behind Centrex X15 Grey,Contoso,Home & Office Phones,Cell phones,16.56,49.99,49.99,16.56,33.43000000000001
1428000,4,11/28/2018,,790269,29,1794,5,EUR,MGS Zoo Tycoon Complete Collection2009 E150,Tailspin Toys,Download Games,Games and Toys,21.92,43.0,215.0,109.60000000000001,105.39999999999999
1428001,1,11/28/2018,,1861844,65,1014,8,USD,A. Datum Compact Digital Camera M200 Green,A. Datum,Digital Cameras,Cameras and camcorders,59.32,129.0,1032.0,474.56,557.44
1428001,2,11/28/2018,,1861844,65,1037,7,USD,A. Datum Advanced Digital Camera M300 Azure,A. Datum,Digital Cameras,Cameras and camcorders,86.68,188.5,1319.5,606.76,712.74
1428001,3,11/28/2018,,1861844,65,1611,8,USD,SV DVD 9-Inch Player Portable M300 White,Southridge Video,Movie DVD,"Music, Movies and Audio Books",73.57,159.99,1279.92,588.56,691.3600000000001
1428001,4,11/28/2018,,1861844,65,374,1,USD,Adventure Works Laptop19W X1980 Silver,Adventure Works,Laptops,Computers,430.38,1299.0,1299.0,430.38,868.62
1428002,1,11/28/2018,12/2/2018,1843621,0,1206,3,USD,Fabrikam Independent Filmmaker 1/3'' 8.5mm X200 Grey,Fabrikam,Camcorders,Cameras and camcorders,516.86,1560.0,4680.0,1550.58,3129.42
1428003,1,11/28/2018,,1790385,48,2494,6,USD,Reusable Phone Screen Protector E120,Contoso,Cell phones Accessories,Cell phones,1.5,2.94,17.64,9.0,8.64
1428004,1,11/28/2018,,1130928,38,1586,1,GBP,SV DVD 55DVD Storage Binder M56 Black,Southridge Video,Movie DVD,"Music, Movies and Audio Books",5.82,12.66,12.66,5.82,6.84
1428004,2,11/28/2018,,1130928,38,1612,7,GBP,SV DVD 12-Inch Player Portable M400 White,Southridge Video,Movie DVD,"Music, Movies and Audio Books",82.77,179.99,1259.93,579.39,680.5400000000001
1428004,3,11/28/2018,,1130928,38,1256,1,GBP,Contoso General Carrying Case E304 Blue,Contoso,Cameras & Camcorders Accessories,Cameras and camcorders,10.19,19.99,19.99,10.19,9.799999999999999
1428004,4,11/28/2018,,1130928,38,780,1,GBP,Contoso Car power adapter M90 White,Contoso,Computers Accessories,Computers,9.17,19.95,19.95,9.17,10.78
1428004,5,11/28/2018,,1130928,38,113,1,GBP,WWI Wireless Transmitter and Bluetooth Headphones X250 White,Wide World Importers,Bluetooth Headphones,Audio,82.83,249.99,249.99,82.83,167.16000000000003
1428005,1,11/28/2018,,1413086,53,1648,2,USD,Contoso DVD 7-Inch Player Portable E200 Black,Contoso,Movie DVD,"Music, Movies and Audio Books",56.08,109.99,219.98,112.16,107.82
1428006,1,11/28/2018,,1884908,56,1833,3,USD,Litware Washer & Dryer 25.5in M350 Silver,Litware,Washers & Dryers,Home Appliances,914.67,1989.0,5967.0,2744.0099999999998,3222.9900000000002
1428006,2,11/28/2018,,1884908,56,1450,9,USD,The Phone Company Touch Screen Phones Capacitive M908 Gold,The Phone Company,Touch Screen Phones,Cell phones,141.64,308.0,2772.0,1274.7599999999998,1497.2400000000002
1428006,3,11/28/2018,,1884908,56,1505,1,USD,The Phone Company Smart phones 6-LINE SCREEN M21 Pink,The Phone Company,Smart phones & PDAs,Cell phones,105.77,230.0,230.0,105.77,124.23
1428008,1,11/28/2018,,2098404,43,973,1,USD,A. Datum Rangefinder Digital Camera X200 Pink,A. Datum,Digital Cameras,Cameras and camcorders,66.26,200.0,200.0,66.26,133.74
1428008,2,11/28/2018,,2098404,43,579,2,USD,Contoso Projector 480p M480 Black,Contoso,Projectors & Screens,Computers,116.75,229.0,458.0,233.5,224.5
1428008,3,11/28/2018,,2098404,43,29,4,USD,Contoso 32GB Video MP3 Player M3200 White,Contoso,MP4&MP3,Audio,84.49,255.0,1020.0,337.96,682.04
1428009,1,11/28/2018,,2090990,54,1583,8,USD,SV DVD 58 DVD Storage Binder M55 Black,Southridge Video,Movie DVD,"Music, Movies and Audio Books",6.39,13.89,111.12,51.12,60.00000000000001
1428009,2,11/28/2018,,2090990,54,1700,4,USD,SV Hand Games women M40 Red,Southridge Video,Boxed Games,Games and Toys,4.08,8.88,35.52,16.32,19.200000000000003
1428010,1,11/28/2018,,896698,31,2493,2,EUR,Cigarette Lighter Adapter for Contoso Phones E110 Red,Contoso,Cell phones Accessories,Cell phones,12.74,24.99,49.98,25.48,24.499999999999996
1428010,2,11/28/2018,,896698,31,1808,8,EUR,MGS Classic Flight Collection2009 E164,Tailspin Toys,Download Games,Games and Toys,16.31,32.0,256.0,130.48,125.52000000000001
1428011,1,11/28/2018,12/2/2018,596705,0,448,3,EUR,WWI Desktop PC1.80 E1801 Black,Wide World Importers,Desktops,Computers,137.6,269.9,809.6999999999999,412.79999999999995,396.9
1428012,1,11/28/2018,,71333,1,1439,10,AUD,The Phone Company Sharp Touch Screen Phones M910 Grey,The Phone Company,Touch Screen Phones,Cell phones,138.42,301.0,3010.0,1384.1999999999998,1625.8000000000002
1428012,2,11/28/2018,,71333,1,1419,6,AUD,The Phone Company Touch Screen Phones 5-Wire/On-wall M508 Black,The Phone Company,Touch Screen Phones,Cell phones,118.65,258.0,1548.0,711.9000000000001,836.0999999999999
1428012,3,11/28/2018,,71333,1,442,7,AUD,WWI Desktop PC1.80 E1801 Silver,Wide World Importers,Desktops,Computers,137.6,269.9,1889.2999999999997,963.1999999999999,926.0999999999998
1428012,4,11/28/2018,,71333,1,1651,1,AUD,Contoso DVD 9-Inch Player Portable M300 Silver,Contoso,Movie DVD,"Music, Movies and Audio Books",73.57,159.99,159.99,73.57,86.42000000000002
1428013,1,11/28/2018,11/30/2018,2003153,0,1571,5,USD,SV DVD Player M100 Black,Southridge Video,Movie DVD,"Music, Movies and Audio Books",26.21,56.99,284.95,131.05,153.89999999999998
1428016,1,11/28/2018,12/2/2018,881368,0,1590,2,EUR,SV DVD 60 DVD Storage Binder L20 Silver,Southridge Video,Movie DVD,"Music, Movies and Audio Books",7.58,22.89,45.78,15.16,30.62
1428016,2,11/28/2018,12/2/2018,881368,0,447,2,EUR,WWI Desktop PC1.80 E1800 Black,Wide World Importers,Desktops,Computers,117.21,229.9,459.8,234.42,225.38000000000002
1428017,1,11/28/2018,12/4/2018,528022,0,1688,1,EUR,SV Hand Games women M40 Yellow,Southridge Video,Boxed Games,Games and Toys,4.08,8.88,8.88,4.08,4.800000000000001
1428017,2,11/28/2018,12/4/2018,528022,0,776,7,EUR,Contoso Digital Camera Accessory kit M200 Blue,Contoso,Computers Accessories,Computers,10.99,23.9,167.29999999999998,76.93,90.36999999999998
1428018,1,11/28/2018,,644729,12,1571,1,EUR,SV DVD Player M100 Black,Southridge Video,Movie DVD,"Music, Movies and Audio Books",26.21,56.99,56.99,26.21,30.78
1428018,2,11/28/2018,,644729,12,1636,1,EUR,Contoso DVD 55DVD Storage Binder M56 Silver,Contoso,Movie DVD,"Music, Movies and Audio Books",5.82,12.66,12.66,5.82,6.84
1428018,3,11/28/2018,,644729,12,1476,5,EUR,The Phone Company Smart phones -320 x 320 M86 Black,The Phone Company,Smart phones & PDAs,Cell phones,132.44,288.0,1440.0,662.2,777.8
1428020,1,11/28/2018,,321310,10,1218,2,CAD,Fabrikam Home and Vacation Moviemaker 1/3'' 8.5mm M200 Black,Fabrikam,Camcorders,Cameras and camcorders,293.39,638.0,1276.0,586.78,689.22
1428021,1,11/28/2018,,1499317,65,1677,7,USD,MGS Hand Games for 12-16 boys E600 Red,Tailspin Toys,Boxed Games,Games and Toys,2.54,4.99,34.93,17.78,17.15
1428021,2,11/28/2018,,1499317,65,90,1,USD,NT Wireless Transmitter and Bluetooth Headphones M150 Silver,Northwind Traders,Bluetooth Headphones,Audio,49.69,149.99,149.99,49.69,100.30000000000001
1428021,3,11/28/2018,,1499317,65,2095,3,USD,Contoso Water Heater 7.2GPM X1800 Green,Contoso,Water Heaters,Home Appliances,488.7,1475.0,4425.0,1466.1,2958.9
1428022,1,11/28/2018,12/2/2018,1912902,0,1721,5,USD,MGS Rise of Nations: Rise of Legends M290,Tailspin Toys,Download Games,Games and Toys,32.25,70.13,350.65,161.25,189.39999999999998
1428022,2,11/28/2018,12/2/2018,1912902,0,1636,4,USD,Contoso DVD 55DVD Storage Binder M56 Silver,Contoso,Movie DVD,"Music, Movies and Audio Books",5.82,12.66,50.64,23.28,27.36
1428023,1,11/28/2018,,1352889,44,2107,2,USD,Contoso Water Heater 4.0GPM M1250 Grey,Contoso,Water Heaters,Home Appliances,363.75,791.0,1582.0,727.5,854.5
1428023,2,11/28/2018,,1352889,44,81,6,USD,NT Wireless Bluetooth Stereo Headphones E302 Black,Northwind Traders,Bluetooth Headphones,Audio,18.65,40.55,243.29999999999998,111.89999999999999,131.39999999999998
1428023,4,11/28/2018,,1352889,44,1995,2,USD,Fabrikam Microwave 1.5CuFt X1100 Grey,Fabrikam,Microwaves,Home Appliances,220.64,665.94,1331.88,441.28,890.6000000000001
1428024,1,11/28/2018,,1691086,63,1784,2,USD,MGS Fable: The Lost Chapters2008 E140,Tailspin Toys,Download Games,Games and Toys,21.92,43.0,86.0,43.84,42.16
1428024,2,11/28/2018,,1691086,63,1625,1,USD,Contoso DVD Recorder L230 Grey,Contoso,Movie DVD,"Music, Movies and Audio Books",72.56,219.0,219.0,72.56,146.44
1428024,3,11/28/2018,,1691086,63,1019,1,USD,A. Datum Interchangeable lens Non-SLR Digital Camera X250 Green,A. Datum,Digital Cameras,Cameras and camcorders,88.79,268.0,268.0,88.79,179.20999999999998
1428025,1,11/28/2018,,2068819,53,1621,4,USD,Contoso DVD Movies E100 Yellow,Contoso,Movie DVD,"Music, Movies and Audio Books",6.62,12.99,51.96,26.48,25.48
1428025,2,11/28/2018,,2068819,53,2109,1,USD,Contoso Water Heater 1.5GPM E0800 Grey,Contoso,Water Heaters,Home Appliances,131.28,257.5,257.5,131.28,126.22
1428025,3,11/28/2018,,2068819,53,1644,6,USD,Contoso DVD External DVD Burner M200 Blue,Contoso,Movie DVD,"Music, Movies and Audio Books",26.62,57.88,347.28000000000003,159.72,187.56000000000003
1428025,4,11/28/2018,,2068819,53,721,10,USD,Proseware High-Performance Business-Class Laser Fax X200 White,Proseware,"Printers, Scanners & Fax",Computers,82.17,248.0,2480.0,821.7,1658.3
1428027,1,11/28/2018,,1938586,59,1482,2,USD,The Phone Company Smart phones 4 GB of Memory M300 Grey,The Phone Company,Smart phones & PDAs,Cell phones,109.91,239.0,478.0,219.82,258.18
1428027,2,11/28/2018,,1938586,59,2025,10,USD,Litware Microwave 1.5CuFt X110 Silver,Litware,Microwaves,Home Appliances,220.64,665.94,6659.400000000001,2206.3999999999996,4453.000000000001
1428027,3,11/28/2018,,1938586,59,1790,3,USD,MGS Dungeon Siege: Legends of Aranna 2009 E146,Tailspin Toys,Download Games,Games and Toys,21.92,43.0,129.0,65.76,63.239999999999995
1428027,4,11/28/2018,,1938586,59,2087,4,USD,Contoso Water Heater 4.0GPM M1250 White,Contoso,Water Heaters,Home Appliances,363.75,791.0,3164.0,1455.0,1709.0
1428028,1,11/28/2018,,680422,15,56,1,EUR,WWI 4GB Video Recording Pen X200 Yellow,Wide World Importers,Recording Pen,Audio,98.07,296.0,296.0,98.07,197.93
1429000,1,11/29/2018,,1100638,37,95,8,GBP,WWI Stereo Bluetooth Headphones E1000 Silver,Wide World Importers,Bluetooth Headphones,Audio,34.36,67.4,539.2,274.88,264.32000000000005
1429001,1,11/29/2018,12/3/2018,1951594,0,1452,1,USD,The Phone Company Touch Screen Phones SAW/On-wall M806 Gold,The Phone Company,Touch Screen Phones,Cell phones,134.74,293.0,293.0,134.74,158.26
1429001,2,11/29/2018,12/3/2018,1951594,0,133,2,USD,"Adventure Works 20"" LCD HDTV M120 Silver",Adventure Works,Televisions,TV and Video,160.93,349.95,699.9,321.86,378.03999999999996
1429001,3,11/29/2018,12/3/2018,1951594,0,1287,3,USD,Contoso Genuine Leather Grip Belt E322 White,Contoso,Cameras & Camcorders Accessories,Cameras and camcorders,39.76,77.99,233.96999999999997,119.28,114.68999999999997
1429001,4,11/29/2018,12/3/2018,1951594,0,1677,1,USD,MGS Hand Games for 12-16 boys E600 Red,Tailspin Toys,Boxed Games,Games and Toys,2.54,4.99,4.99,2.54,2.45
1429001,5,11/29/2018,12/3/2018,1951594,0,1790,1,USD,MGS Dungeon Siege: Legends of Aranna 2009 E146,Tailspin Toys,Download Games,Games and Toys,21.92,43.0,43.0,21.92,21.08
1429002,1,11/29/2018,,1784590,61,1703,3,USD,SV Hand Games for kids E30 Silver,Southridge Video,Boxed Games,Games and Toys,2.75,5.39,16.169999999999998,8.25,7.919999999999998
1429002,2,11/29/2018,,1784590,61,1654,3,USD,Contoso DVD 14-Inch Player Portable L100 Silver,Contoso,Movie DVD,"Music, Movies and Audio Books",86.14,259.99,779.97,258.42,521.55
1429002,3,11/29/2018,,1784590,61,1714,3,USD,MGS Halo 2 for Windows Vista M220,Tailspin Toys,Download Games,Games and Toys,32.25,70.13,210.39,96.75,113.63999999999999
1429003,1,11/29/2018,,1529931,51,2499,9,USD,Contoso Phone Tough Skin Case E140 White,Contoso,Cell phones Accessories,Cell phones,12.09,23.72,213.48,108.81,104.66999999999999
1429004,1,11/29/2018,,1261289,47,1727,3,USD,MGS Rise of Nations: Gold Edition M300,Tailspin Toys,Download Games,Games and Toys,25.75,56.0,168.0,77.25,90.75
1429005,1,11/29/2018,,1646029,51,1839,3,USD,Litware Washer & Dryer 24in M260 Blue,Litware,Washers & Dryers,Home Appliances,836.03,1818.0,5454.0,2508.09,2945.91
1429005,2,11/29/2018,,1646029,51,898,3,USD,SV Keyboard E90 Grey,Southridge Video,Computers Accessories,Computers,21.28,41.73,125.19,63.84,61.349999999999994
1429006,1,11/29/2018,,910717,39,1664,3,GBP,MGS Hand Games women M400 Yellow,Tailspin Toys,Boxed Games,Games and Toys,4.13,8.99,26.97,12.39,14.579999999999998
1429006,2,11/29/2018,,910717,39,1589,2,GBP,SV DVD 38 DVD Storage Binder E25 Silver,Southridge Video,Movie DVD,"Music, Movies and Audio Books",5.09,9.99,19.98,10.18,9.8
1429007,1,11/29/2018,,209922,9,1451,2,CAD,The Phone Company Touch Screen Phones 4-Wire/ Built-in M205 Gold,The Phone Company,Touch Screen Phones,Cell phones,123.24,268.0,536.0,246.48,289.52
1429008,1,11/29/2018,,1720965,61,1926,2,USD,Fabrikam Refrigerator 1.7CuFt E1200 Blue,Fabrikam,Refrigerators,Home Appliances,66.27,129.99,259.98,132.54,127.44000000000003
1429008,2,11/29/2018,,1720965,61,69,3,USD,NT Bluetooth Stereo Headphones E52 Pink,Northwind Traders,Bluetooth Headphones,Audio,13.1,25.69,77.07000000000001,39.3,37.77000000000001
1429008,3,11/29/2018,,1720965,61,440,8,USD,WWI Desktop PC1.60 E1600 Silver,Wide World Importers,Desktops,Computers,112.14,219.95,1759.6,897.12,862.4799999999999
1429009,1,11/29/2018,,1419155,45,2097,3,USD,Contoso Water Heater 4.0GPM M1250 Green,Contoso,Water Heaters,Home Appliances,363.75,791.0,2373.0,1091.25,1281.75
1429010,1,11/29/2018,,1387026,50,47,1,USD,WWI 1GBPulse Smart pen E50 Black,Wide World Importers,Recording Pen,Audio,76.45,149.95,149.95,76.45,73.49999999999999
1429010,2,11/29/2018,,1387026,50,2416,2,USD,Litware 3-Speed Oscillating Blower Fan M115 White,Litware,Fans,Home Appliances,34.03,73.99,147.98,68.06,79.91999999999999
1429010,3,11/29/2018,,1387026,50,3,1,USD,Contoso 1G MP3 Player E100 White,Contoso,MP4&MP3,Audio,7.4,14.52,14.52,7.4,7.119999999999999
1429012,1,11/29/2018,12/1/2018,1451193,0,2505,1,USD,Contoso Touch Stylus Pen E150 Red,Contoso,Cell phones Accessories,Cell phones,5.09,9.99,9.99,5.09,4.9
1429012,2,11/29/2018,12/1/2018,1451193,0,437,2,USD,Adventure Works Desktop PC1.80 ED182 White,Adventure Works,Desktops,Computers,254.86,499.9,999.8,509.72,490.0799999999999
1429013,1,11/29/2018,12/2/2018,834711,0,2448,1,EUR,Litware 92mm DBB Case Fan E1101 Black,Litware,Fans,Home Appliances,7.64,14.99,14.99,7.64,7.3500000000000005
1429014,1,11/29/2018,,1743133,53,1756,4,USD,MGS Age of Empires II Gold Edition E122,Tailspin Toys,Download Games,Games and Toys,33.09,64.9,259.6,132.36,127.24000000000001
1429014,2,11/29/2018,,1743133,53,457,4,USD,WWI Desktop PC1.60 E1600 White,Wide World Importers,Desktops,Computers,112.14,219.95,879.8,448.56,431.23999999999995
1429014,3,11/29/2018,,1743133,53,1730,3,USD,MGS Dungeon Siege: Legends of Aranna M330,Tailspin Toys,Download Games,Games and Toys,35.72,77.68,233.04000000000002,107.16,125.88000000000002
1429015,1,11/29/2018,,1628237,51,66,1,USD,NT Bluetooth Stereo Headphones E52 Blue,Northwind Traders,Bluetooth Headphones,Audio,13.1,25.69,25.69,13.1,12.590000000000002
1429015,2,11/29/2018,,1628237,51,1216,5,USD,Fabrikam Home and Vacation Moviemaker 1'' 25mm M400 Black,Fabrikam,Camcorders,Cameras and camcorders,285.12,620.0,3100.0,1425.6,1674.4
1429015,3,11/29/2018,,1628237,51,2513,8,USD,Contoso Bluetooth Active Headphones L15 Red,Contoso,Cell phones Accessories,Cell phones,43.07,129.99,1039.92,344.56,695.3600000000001
1429015,4,11/29/2018,,1628237,51,1098,3,USD,Contoso SLR Camera M145 Pink,Contoso,Digital SLR Cameras,Cameras and camcorders,157.73,343.0,1029.0,473.18999999999994,555.8100000000001
1429015,5,11/29/2018,,1628237,51,1692,2,USD,SV Hand Games for students E40 Black,Southridge Video,Boxed Games,Games and Toys,3.56,6.99,13.98,7.12,6.86
1429015,6,11/29/2018,,1628237,51,450,3,USD,WWI Desktop PC2.33 X2330 Brown,Wide World Importers,Desktops,Computers,304.48,919.0,2757.0,913.44,1843.56
1429017,1,11/29/2018,12/5/2018,1433269,0,1532,4,USD,The Phone Company PDA Palm 3.5 inch M810 Black,The Phone Company,Smart phones & PDAs,Cell phones,128.76,280.0,1120.0,515.04,604.96
1429017,2,11/29/2018,12/5/2018,1433269,0,1646,1,USD,Contoso DVD 9-Inch Player Portable M300 Black,Contoso,Movie DVD,"Music, Movies and Audio Books",73.57,159.99,159.99,73.57,86.42000000000002
1429017,3,11/29/2018,12/5/2018,1433269,0,1417,1,USD,The Phone Company Touch Screen Phones 4-Wire/ Built-in M205 Black,The Phone Company,Touch Screen Phones,Cell phones,123.24,268.0,268.0,123.24,144.76
1429018,1,11/29/2018,,402514,27,168,1,EUR,SV 16xDVD M310 Black,Southridge Video,VCD & DVD,TV and Video,59.32,129.0,129.0,59.32,69.68
1429018,2,11/29/2018,,402514,27,1678,1,EUR,MGS Hand Games for Office worker L299 Red,Tailspin Toys,Boxed Games,Games and Toys,5.6,16.89,16.89,5.6,11.290000000000001
1429019,1,11/29/2018,,1264875,59,533,1,USD,WWI LCD20W M250 White,Wide World Importers,Monitors,Computers,128.3,279.0,279.0,128.3,150.7
1429019,2,11/29/2018,,1264875,59,417,4,USD,Adventure Works Desktop PC2.30 MD230 Silver,Adventure Works,Desktops,Computers,275.46,599.0,2396.0,1101.84,1294.16
1429019,3,11/29/2018,,1264875,59,1407,1,USD,Contoso Phone with Memory Dialing-2 lines E90 Grey,Contoso,Home & Office Phones,Cell phones,8.16,16.0,16.0,8.16,7.84
1429019,4,11/29/2018,,1264875,59,723,3,USD,Proseware Photo Ink jet Printer E290 White,Proseware,"Printers, Scanners & Fax",Computers,52.0,102.0,306.0,156.0,150.0
1429019,5,11/29/2018,,1264875,59,1634,3,USD,Contoso DVD 38 DVD Storage Binder E25 Silver,Contoso,Movie DVD,"Music, Movies and Audio Books",5.09,9.99,29.97,15.27,14.7
1429021,1,11/29/2018,12/4/2018,1655733,0,91,3,USD,NT Wireless Transmitter and Bluetooth Headphones M150 Green,Northwind Traders,Bluetooth Headphones,Audio,49.69,149.99,449.97,149.07,300.90000000000003
1429022,1,11/29/2018,,1639435,43,544,4,USD,Proseware Projector 480p DLP12 Black,Proseware,Projectors & Screens,Computers,254.4,499.0,1996.0,1017.6,978.4
1429023,1,11/29/2018,,875555,31,1714,2,EUR,MGS Halo 2 for Windows Vista M220,Tailspin Toys,Download Games,Games and Toys,32.25,70.13,140.26,64.5,75.75999999999999
1429024,1,11/29/2018,,692928,15,1030,1,EUR,A. Datum Slim Digital Camera M180 Azure,A. Datum,Digital Cameras,Cameras and camcorders,68.06,148.0,148.0,68.06,79.94
1429024,2,11/29/2018,,692928,15,566,1,EUR,Proseware Projector 720p DLP56 Silver,Proseware,Projectors & Screens,Computers,459.4,999.0,999.0,459.4,539.6
1429024,3,11/29/2018,,692928,15,572,3,EUR,Proseware Screen 100in M1609 Silver,Proseware,Projectors & Screens,Computers,87.37,190.0,570.0,262.11,307.89
1429025,1,11/29/2018,,365200,8,152,7,CAD,"Adventure Works 40"" LCD HDTV M690 Brown",Adventure Works,Televisions,TV and Video,392.6,1184.97,8294.79,2748.2000000000003,5546.59
1429026,1,11/29/2018,,1224615,63,535,7,USD,WWI LCD19W M100 White,Wide World Importers,Monitors,Computers,82.32,179.0,1253.0,576.24,676.76
1429026,2,11/29/2018,,1224615,63,7,2,USD,Contoso 2G MP3 Player E200 Blue,Contoso,MP4&MP3,Audio,11.0,21.57,43.14,22.0,21.14
1429027,1,11/29/2018,12/3/2018,1492176,0,1158,1,USD,Fabrikam Independent Filmmaker 1/3'' 8.5mm X200 Black,Fabrikam,Camcorders,Cameras and camcorders,516.86,1560.0,1560.0,516.86,1043.1399999999999
1429027,2,11/29/2018,12/3/2018,1492176,0,429,1,USD,Adventure Works Desktop PC2.30 MD230 Brown,Adventure Works,Desktops,Computers,275.87,599.9,599.9,275.87,324.03
1429028,1,11/29/2018,,950698,36,542,3,GBP,Proseware Projector 720p DLP56 Black,Proseware,Projectors & Screens,Computers,459.4,999.0,2997.0,1378.1999999999998,1618.8000000000002
1429028,2,11/29/2018,,950698,36,1591,2,GBP,SV DVD 55DVD Storage Binder M56 Silver,Southridge Video,Movie DVD,"Music, Movies and Audio Books",5.82,12.66,25.32,11.64,13.68
1429029,1,11/29/2018,12/1/2018,39268,0,1288,5,AUD,Contoso Genuine Leather Grip Belt E322 Silver,Contoso,Cameras & Camcorders Accessories,Cameras and camcorders,39.76,77.99,389.95,198.79999999999998,191.15
1429030,1,11/29/2018,,423898,23,1451,1,EUR,The Phone Company Touch Screen Phones 4-Wire/ Built-in M205 Gold,The Phone Company,Touch Screen Phones,Cell phones,123.24,268.0,268.0,123.24,144.76
1429031,1,11/29/2018,,1718920,65,459,3,USD,WWI Desktop PC1.80 E1801 White,Wide World Importers,Desktops,Computers,137.6,269.9,809.6999999999999,412.79999999999995,396.9
1429031,2,11/29/2018,,1718920,65,61,2,USD,WWI 2GB Spy Video Recorder Pen M300 Black,Wide World Importers,Recording Pen,Audio,83.24,181.0,362.0,166.48,195.52
1430000,1,11/30/2018,,1825407,44,432,1,USD,Adventure Works Desktop PC1.80 ED182 Brown,Adventure Works,Desktops,Computers,254.86,499.9,499.9,254.86,245.03999999999996
1430000,2,11/30/2018,,1825407,44,459,5,USD,WWI Desktop PC1.80 E1801 White,Wide World Importers,Desktops,Computers,137.6,269.9,1349.5,688.0,661.5
1430001,1,11/30/2018,,2012901,64,726,3,USD,Proseware Photo Smart All-in-One Printer M380 White,Proseware,"Printers, Scanners & Fax",Computers,67.6,147.0,441.0,202.79999999999998,238.20000000000002
1430001,2,11/30/2018,,2012901,64,170,2,USD,SV 16xDVD M330 Black,Southridge Video,VCD & DVD,TV and Video,50.13,109.0,218.0,100.26,117.74
1430001,3,11/30/2018,,2012901,64,675,4,USD,Proseware Laser Jet All in one X300 Grey,Proseware,"Printers, Scanners & Fax",Computers,72.56,219.0,876.0,290.24,585.76
1430002,1,11/30/2018,,1387194,63,1700,1,USD,SV Hand Games women M40 Red,Southridge Video,Boxed Games,Games and Toys,4.08,8.88,8.88,4.08,4.800000000000001
1430003,1,11/30/2018,,543834,20,1798,3,EUR,MGS Impossible Creatures2009 E154,Tailspin Toys,Download Games,Games and Toys,21.92,43.0,129.0,65.76,63.239999999999995
1430004,1,11/30/2018,,739625,30,420,2,EUR,Adventure Works Desktop PC1.80 ED182 Silver,Adventure Works,Desktops,Computers,254.86,499.9,999.8,509.72,490.0799999999999
1430005,1,11/30/2018,,1076923,40,439,4,GBP,WWI Desktop PC2.30 M2300 Brown,Wide World Importers,Desktops,Computers,257.06,559.0,2236.0,1028.24,1207.76
1430005,2,11/30/2018,,1076923,40,416,2,GBP,Adventure Works Desktop PC2.33 XD233 Silver,Adventure Works,Desktops,Computers,321.05,969.0,1938.0,642.1,1295.9
1430005,3,11/30/2018,,1076923,40,307,4,GBP,SV Car Video LCD7 M7003 Black,Southridge Video,Car Video,TV and Video,169.69,369.0,1476.0,678.76,797.24
1430006,1,11/30/2018,,1041566,40,394,1,GBP,WWI Laptop15.4W M0156 Black,Wide World Importers,Laptops,Computers,348.58,758.0,758.0,348.58,409.42
1430008,1,11/30/2018,,982052,40,2500,10,GBP,Contoso Phone Tough Skin Case E140 Silver,Contoso,Cell phones Accessories,Cell phones,12.09,23.72,237.2,120.9,116.29999999999998
1430009,1,11/30/2018,,488029,23,429,3,EUR,Adventure Works Desktop PC2.30 MD230 Brown,Adventure Works,Desktops,Computers,275.87,599.9,1799.6999999999998,827.61,972.0899999999998
1430009,2,11/30/2018,,488029,23,1586,1,EUR,SV DVD 55DVD Storage Binder M56 Black,Southridge Video,Movie DVD,"Music, Movies and Audio Books",5.82,12.66,12.66,5.82,6.84
1430009,3,11/30/2018,,488029,23,1458,2,EUR,The Phone Company Touch Screen Phones - LCD M12 Gold,The Phone Company,Touch Screen Phones,Cell phones,91.97,200.0,400.0,183.94,216.06
1430010,1,11/30/2018,,1442274,65,1780,8,USD,MGS Zoo Tycoon 2: African Adventure 2008 E136,Tailspin Toys,Download Games,Games and Toys,21.92,43.0,344.0,175.36,168.64
1430010,2,11/30/2018,,1442274,65,1598,4,USD,SV DVD External DVD Burner M200 Grey,Southridge Video,Movie DVD,"Music, Movies and Audio Books",26.62,57.88,231.52,106.48,125.04
1430010,3,11/30/2018,,1442274,65,1735,2,USD,MGS Flight Simulator 2004: A Century of Flight E111,Tailspin Toys,Download Games,Games and Toys,14.28,28.0,56.0,28.56,27.44
